Job Title,Company,Location,Education,Experience,Deadline
Senior Foreign University Admission and Visa Expert,SamSwiss Study Abroad Ltd,Dhaka,"At least 3 year(s)
                                                        






 Deadline: 

31 Aug 2023",At least 3 year(s),31 Aug 2023
Software Engineer (Python Data Engineer) - Information Technology,Epyllion Group,Tejgaon,"Minimum Graduate in CSE /IT (Information Systems), or any relevant discipline from a renowned/tier ...",8 to 12 year(s),"
1 Sep 2023"
সহ-সমন্বয়কারি - মানব সম্পদ বিভাগ,এসডিএস (শরীয়তপুর ডেভেলপমেন্ট সোসাইটি),শরীয়তপুর,"At least 7 year(s)
                                                        






 Deadline: 

31 Aug 2023",At least 7 year(s),31 Aug 2023
Senior Software Engineer/ Principal Software Engineer(.NET) - Information Technology,Epyllion Group,Tejgaon,"Minimum Graduate in CSE /IT (Information Systems), or any relevant discipline from a renowned/tier ...",At least 8 year(s),"
1 Sep 2023"
DGM - Brand,Banoful - Kishwan,Chattogram,"At least 10 year(s)
                                                        






 Deadline: 

31 Aug 2023",At least 10 year(s),31 Aug 2023
Senior Officer - Accounts & Finance,Peoples Leasing and Financial Services Limited,Dhaka,"At least 2 year(s)
                                                        






 Deadline: 

31 Aug 2023",At least 2 year(s),31 Aug 2023
Assistant Manager - Internal Control and Compliance (ICC),Peoples Leasing and Financial Services Limited,Dhaka,"At least 5 year(s)
                                                        






 Deadline: 

31 Aug 2023",At least 5 year(s),31 Aug 2023
সহকারী ব্যবস্থাপক (মানব সম্পদ),Ad-din Foundation,যশোর,"At least 5 year(s)
                                                        






 Deadline: 

31 Aug 2023",At least 5 year(s),31 Aug 2023
"উপজেলা প্রোগ্রাম অফিসার (ইনচার্জ), কৈশোর কর্মসূচি",Jagorani Chakra Foundation,ঝিকরগাছা,ন্যূনতম স্নাতক/ সমমান পাশ।,At least 2 year(s),31 Aug 2023
Customer Service Officer,Khaled Group of Companies,Anywhere in Bangladesh,Doctor of Veterinary Medicine (DVM),1 to 3 year(s),31 Aug 2023
সেলসম্যান - পেপারি ইন্ডাস্ট্রি,,বাংলাদেশের যেকোনো স্থানে,"At least 5 year(s)
                                                        






 Deadline: 

31 Aug 2023",null,t 5 year(s)
Assistant Manager - Corporate Sales,HAMKO Electric & Electronics Ltd.,Gulshan,Masters in Engineering (MEngg) in EEE,At least 5 year(s),31 Aug 2023
"Manager, Sales and Marketing",Modina Trading Corporation,Anywhere in Bangladesh,Master of Business Administration (MBA) in Sales and MarketingA Animal Science degree would be an ...,At least 5 year(s),31 Aug 2023
Executive - VAT & Accounts,Sun Pharmaceuticals (EZ) Limited,Gazipur,"BBA/ MBA (Major in Accounting) from any reputed University.
CA-CC will be preferred",2 to 3 year(s),31 Aug 2023
Data Artist (Associate) - Night Shift,Catalyst Solutions (sister organization of Adiva Graphics),"Chattogram, Dhaka","Bachelor of Science (BSc) in EEE, CSE, ETE, ECE, Physics, IT, Statistics, Math",Na,31 Aug 2023
Assistant Manager,RASA Technologies,Dhaka,"Bachelor of Science (BSc) in ECE, CSE, EEE",At least 5 year(s),31 Aug 2023
Assistant Manager - Enterprise Sales,RASA Technologies,Dhaka,"Bachelor of Science (BSc) in ECE, CSE, EEE",At least 3 year(s),31 Aug 2023
Manager - Admin,City Hostel,Anywhere in Bangladesh,HSC,Na,31 Aug 2023
Assistant Merchandiser (Knit Garments),A Reputed Garments & Textile Group,GULSHAN 1,B.Sc in Textile Engineering or equivalent,2 to 3 year(s),31 Aug 2023
Graphic Designer/ SEO Expert,ithatworld.com,Elephant Road,HSC,3 to 5 year(s),31 Aug 2023
Lobby Hostess / Lobby Ambassador,Radisson Blu Chattogram Bay View,Chattogram,Bachelor degree in any disciplineHotel Management,Na,31 Aug 2023
Compliance Officer,Advanced Chemical Industries Limited (ACI),Satkhira,"At least 1 year(s)
                                                        






 Deadline: 

31 Aug 2023",At least 1 year(s),31 Aug 2023
Senior Project Officer- Protection,Catholic Relief Services,Anywhere in Bangladesh,"At least 4 year(s)
                                                        






 Deadline: 

1 Sep 2023",At least 4 year(s),"
1 Sep 2023"
Call Centre Executive/ Supervisor,Dhaka Eye Care Hospital,Anywhere in Bangladesh,HSCBachelor degree in any discipline,At most 1 year(s),31 Aug 2023
সহকারী পশু চিকিৎসক,Sharif Agrovet,বাংলাদেশের যেকোনো স্থানে,"At least 5 year(s)
                                                        






 Deadline: 

31 Aug 2023",At least 5 year(s),31 Aug 2023
পশু চিকিৎসক,Sharif Agrovet,বাংলাদেশের যেকোনো স্থানে,"At least 10 year(s)
                                                        






 Deadline: 

31 Aug 2023",At least 10 year(s),31 Aug 2023
Security Guards,British High Commission,Dhaka,Na,null,Na
"Manager, Distribution (ACI Premio Plastics)",Advanced Chemical Industries Limited (ACI),Anywhere in Bangladesh,"At least 5 year(s)
                                                        






 Deadline: 

31 Aug 2023",At least 5 year(s),31 Aug 2023
Pharmacist,Remo Chemicals Ltd.,Dhaka,"Na
                                                        






 Deadline: 

31 Aug 2023",Na,31 Aug 2023
Assistant Manager Marketing Communication,Radisson Blu Chattogram Bay View,Anywhere in Bangladesh,Bachelor degree in any disciplineMarketing,At least 3 year(s),31 Aug 2023
Office Assistant,BNB SECURITIES LTD,Dhaka,Educational Qualification minimum HSC,Na,31 Aug 2023
